141026,安泽县,county,山西省,山西省,141026,140000,140000,141026
141027,浮山县,county,山西省,山西省,141027,140000,140000,141027
141028,吉县,county,山西省,山西省,141028,140000,140000,141028
141029,乡宁县,county,山西省,山西省,141029,140000,140000,141029
141030,大宁县,county,山西省,山西省,141030,140000,140000,141030
141031,隰县,county,山西省,山西省,141031,140000,140000,141031
141032,永和县,county,山西省,山西省,141032,140000,140000,141032
141033,蒲县,county,山西省,山西省,141033,140000,140000,141033
141034,汾西县,county,山西省,山西省,141034,140000,140000,141034
141081,侯马市,county,山西省,山西省,141081,140000,140000,141081
141082,霍州市,county,山西省,山西省,141082,140000,140000,141082
141100,吕梁市,city,山西省,吕梁市,,140000,141100,
141102,离石区,county,山西省,山西省,141102,140000,140000,141102
141121,文水县,county,山西省,山西省,141121,140000,140000,141121
141122,交城县,county,山西省,山西省,141122,140000,140000,141122
141123,兴县,county,山西省,山西省,141123,140000,140000,141123
141124,临县,county,山西省,山西省,141124,140000,140000,141124
141125,柳林县,county,山西省,山西省,141125,140000,140000,141125
141126,石楼县,county,山西省,山西省,141126,140000,140000,141126
141127,岚县,county,山西省,山西省,141127,140000,140000,141127
141128,方山县,county,山西省,山西省,141128,140000,140000,141128
141129,中阳县,county,山西省,山西省,141129,140000,140000,141129
141130,交口县,county,山西省,山西省,141130,140000,140000,141130
141181,孝义市,county,山西省,山西省,141181,140000,140000,141181
141182,汾阳市,county,山西省,山西省,141182,140000,140000,141182
150000,内蒙古自治区,province,内蒙古自治区,,,150000,,
150100,呼和浩特市,city,内蒙古自治区,呼和浩特市,,150000,150100,
150102,新城区,county,内蒙古自治区,内蒙古自治区,150102,150000,150000,150102
150103,回民区,county,内蒙古自治区,内蒙古自治区,150103,150000,150000,150103
150104,玉泉区,county,内蒙古自治区,内蒙古自治区,150104,150000,150000,150104
150105,赛罕区,county,内蒙古自治区,内蒙古自治区,150105,150000,150000,150105
150121,土默特左旗,county,内蒙古自治区,内蒙古自治区,150121,150000,150000,150121
150122,托克托县,county,内蒙古自治区,内蒙古自治区,150122,150000,150000,150122
150123,和林格尔县,county,内蒙古自治区,内蒙古自治区,150123,150000,150000,150123
150124,清水河县,county,内蒙古自治区,内蒙古自治区,150124,150000,150000,150124
150125,武川县,county,内蒙古自治区,内蒙古自治区,150125,150000,150000,150125
150200,包头市,city,内蒙古自治区,包头市,,150000,150200,
150202,东河区,county,内蒙古自治区,内蒙古自治区,150202,150000,150000,150202
150203,昆都仑区,county,内蒙古自治区,内蒙古自治区,150203,150000,150000,150203
150204,青山区,county,内蒙古自治区,内蒙古自治区,150204,150000,150000,150204
150205,石拐区,county,内蒙古自治区,内蒙古自治区,150205,150000,150000,150205
150206,白云鄂博矿区,county,内蒙古自治区,内蒙古自治区,150206,150000,150000,150206
150207,九原区,county,内蒙古自治区,内蒙古自治区,150207,150000,150000,150207
150221,土默特右旗,county,内蒙古自治区,内蒙古自治区,150221,150000,150000,150221
150222,固阳县,county,内蒙古自治区,内蒙古自治区,150222,150000,150000,150222
150223,达尔罕茂明安联合旗,county,内蒙古自治区,内蒙古自治区,150223,150000,150000,150223
150300,乌海市,city,内蒙古自治区,乌海市,,150000,150300,
150302,海勃湾区,county,内蒙古自治区,内蒙古自治区,150302,150000,150000,150302
150303,海南区,county,内蒙古自治区,内蒙古自治区,150303,150000,150000,150303
